nome,cpf,idade,genero,email
Maria da Silva,12345678901,22,Feminino,maria.silva@email.com
João Oliveira,23456789012,25,Masculino,joao.oliveira@email.com
Ana Souza,34567890123,23,Feminino,ana.souza@email.com
Pedro Santos,45678901234,26,Masculino,pedro.santos@email.com
Isabela Lima,56789012345,24,Feminino,isabela.lima@email.com
Rafael Pereira,67890123456,21,Masculino,rafael.pereira@email.com
Camila Costa,78901234567,22,Feminino,camila.costa@email.com
Lucas Martins,89012345678,25,Masculino,lucas.martins@email.com
Giovanna Almeida,90123456789,23,Feminino,giovanna.almeida@email.com
Mateus Rocha,12345678909,24,Masculino,mateus.rocha@email.com
Larissa Oliveira,23456789098,22,Feminino,larissa.oliveira@email.com
Gabriel Lima,34567890187,25,Masculino,gabriel.lima@email.com
Amanda Costa,45678901276,23,Feminino,amanda.costa@email.com
Vinícius Santos,56789012365,26,Masculino,vinicius.santos@email.com
Sophia Pereira,67890123454,21,Feminino,sophia.pereira@email.com
Henrique Souza,78901234543,22,Masculino,henrique.souza@email.com
Valentina Lima,89012345632,25,Feminino,valentina.lima@email.com
Leonardo Oliveira,90123456721,23,Masculino,leonardo.oliveira@email.com
Isabel Costa,01234567890,24,Feminino,isabel.costa@email.com
Fernando Santos,98765432101,22,Masculino,fernando.santos@email.com
